IP,Hostname,MAC,Vendor,Open Ports
172.21.1.184,xc1db02-2.capetown.gov.za,,
172.21.1.233,tomprd1.capetown.gov.za,,
172.21.1.249,unknown,,
172.21.2.50,tc2db02-1.capetown.gov.za,,
172.21.2.89,napdb01.capetown.gov.za,,
172.21.2.92,npadb01.capetown.gov.za,,
172.21.2.93,npaci01.capetown.gov.za,,
172.21.2.95,npaap02.capetown.gov.za,,
172.21.2.97,bwpdb01-p.capetown.gov.za,,
172.21.2.98,bwpci01.capetown.gov.za,,
172.21.2.99,bwpap02.capetown.gov.za,,
172.21.2.100,bwpap03.capetown.gov.za,,
172.21.2.184,xc1db02-1.capetown.gov.za,,
172.21.2.185,unknown,,
172.21.2.186,unknown,,
172.21.2.220,lvpci01.capetown.gov.za,,
172.21.3.78,unknown,,
172.21.3.80,unknown,,
172.21.3.104,unknown,,
172.21.3.122,unknown,,
172.21.3.187,unknown,,
172.21.3.198,unknown,,
172.21.3.204,unknown,,
172.21.3.243,unknown,,
